,State,Year,Quater,Transaction_area,Registered_Users
1904,goa,2021,3,north goa,403952
1905,goa,2021,3,south goa,249506
1906,goa,2021,4,north goa,430814
1907,goa,2021,4,south goa,266364
1908,goa,2022,1,north goa,456250
1909,goa,2022,1,south goa,282378
1910,goa,2022,2,north goa,480353
1911,goa,2022,2,south goa,297426
1912,goa,2022,3,north goa,504946
1913,goa,2022,3,south goa,312884
1914,goa,2022,4,north goa,527826
1915,goa,2022,4,south goa,327376
1916,goa,2023,1,north goa,550554
1917,goa,2023,1,south goa,341631
1918,goa,2023,2,north goa,571111
1919,goa,2023,2,south goa,354909
1920,goa,2023,3,north goa,593176
1921,goa,2023,3,south goa,368655
1922,goa,2023,4,north goa,613836
1923,goa,2023,4,south goa,382087
1924,goa,2024,1,north goa,637677
1925,goa,2024,1,south goa,397373
1926,goa,2024,2,north goa,661408
1927,goa,2024,2,south goa,412108
1928,goa,2024,3,north goa,589892
1929,goa,2024,3,south goa,524142
1930,goa,2024,4,north goa,605009
1931,goa,2024,4,south goa,538323
1932,gujarat,2018,1,ahmadabad,572811
1933,gujarat,2018,1,surat,489852
1934,gujarat,2018,1,vadodara,205722
1935,gujarat,2018,1,rajkot,133017
1936,gujarat,2018,1,gandhinagar,118201
1937,gujarat,2018,1,bharuch,101575
1938,gujarat,2018,1,kachchh,97838
1939,gujarat,2018,1,mahesana,97004
1940,gujarat,2018,1,banas kantha,93506
1941,gujarat,2018,1,bhavnagar,87683
1942,gujarat,2018,2,ahmadabad,751746
1943,gujarat,2018,2,surat,652372
1944,gujarat,2018,2,vadodara,271730
1945,gujarat,2018,2,rajkot,174778
1946,gujarat,2018,2,gandhinagar,155539
1947,gujarat,2018,2,bharuch,134500
1948,gujarat,2018,2,kachchh,128064
1949,gujarat,2018,2,mahesana,127614
1950,gujarat,2018,2,banas kantha,125849
1951,gujarat,2018,2,bhavnagar,115812
1952,gujarat,2018,3,ahmadabad,919252
1953,gujarat,2018,3,surat,808005
1954,gujarat,2018,3,vadodara,335125
1955,gujarat,2018,3,rajkot,215459
1956,gujarat,2018,3,gandhinagar,190882
1957,gujarat,2018,3,bharuch,169322
1958,gujarat,2018,3,banas kantha,159591
1959,gujarat,2018,3,kachchh,158762
1960,gujarat,2018,3,mahesana,157274
1961,gujarat,2018,3,bhavnagar,141243
1962,gujarat,2018,4,ahmadabad,1212636
1963,gujarat,2018,4,surat,998807
1964,gujarat,2018,4,vadodara,421895
1965,gujarat,2018,4,rajkot,260602
1966,gujarat,2018,4,gandhinagar,242368
1967,gujarat,2018,4,bharuch,211843
1968,gujarat,2018,4,banas kantha,197774
1969,gujarat,2018,4,kachchh,195295
1970,gujarat,2018,4,mahesana,192493
1971,gujarat,2018,4,bhavnagar,173699
1972,gujarat,2019,1,ahmadabad,1450100
1973,gujarat,2019,1,surat,1180819
1974,gujarat,2019,1,vadodara,502520
1975,gujarat,2019,1,rajkot,304415
1976,gujarat,2019,1,gandhinagar,291858
1977,gujarat,2019,1,bharuch,252826
1978,gujarat,2019,1,banas kantha,239613
1979,gujarat,2019,1,kachchh,231871
1980,gujarat,2019,1,mahesana,230403
1981,gujarat,2019,1,valsad,209477
1982,gujarat,2019,2,ahmadabad,1656341
1983,gujarat,2019,2,surat,1338584
1984,gujarat,2019,2,vadodara,572031
1985,gujarat,2019,2,rajkot,345178
1986,gujarat,2019,2,gandhinagar,333056
1987,gujarat,2019,2,bharuch,284296
1988,gujarat,2019,2,banas kantha,271379
1989,gujarat,2019,2,kachchh,261458
1990,gujarat,2019,2,mahesana,259949
1991,gujarat,2019,2,valsad,238764
1992,gujarat,2019,3,ahmadabad,1848860
1993,gujarat,2019,3,surat,1481391
1994,gujarat,2019,3,vadodara,637678
1995,gujarat,2019,3,rajkot,384852
1996,gujarat,2019,3,gandhinagar,372464
1997,gujarat,2019,3,bharuch,315856
1998,gujarat,2019,3,banas kantha,301373
1999,gujarat,2019,3,mahesana,286652
2000,gujarat,2019,3,kachchh,285519
2001,gujarat,2019,3,valsad,266134
